"","x"
"1228","YDR364C"
"1229","YDR365C"
"1230","YDR366C"
"1231","YDR367W"
"1232","YDR368W"
"1233","YDR369C"
"1234","YDR370C"
"1235","YDR371W"
"1236","YDR372C"
"1237","YDR373W"
"1238","YDR374W-A"
"1239","YDR375C"
"1240","YDR376W"
"1241","YDR377W"
"1242","YDR378C"
"1243","YDR379C-A"
"1244","YDR379W"
"1245","YDR380W"
"1246","YDR381C-A"
"1247","YDR381W"
"1248","YDR382W"
"1249","YDR383C"
"1250","YDR384C"
"1251","YDR385W"
"1252","YDR386W"
"1253","YDR387C"
"1254","YDR388W"
"1255","YDR389W"
"1256","YDR390C"
"1257","YDR391C"
"1258","YDR392W"
"1259","YDR393W"
"1260","YDR394W"
"1261","YDR395W"
"1262","YDR396W"
"1263","YDR398W"
"1264","YDR399W"
"1265","YDR400W"
"1266","YDR402C"
"1267","YDR403W"
"1268","YDR404C"
"1269","YDR405W"
"1270","YDR406W"
"1271","YDR406W"
"1272","YDR407C"
"1273","YDR408C"
"1274","YDR409W"
"1275","YDR410C"
"1276","YDR411C"
"1277","YDR414C"
"1278","YDR415C"
"1279","YDR416W"
"1280","YDR418W"
"1281","YDR419W"
"1282","YDR420W"
"1283","YDR421W"
"1284","YDR422C"
"1285","YDR423C"
"1286","YDR424C"
"1287","YDR425W"
"1288","YDR427W"
"1289","YDR428C"
"1290","YDR429C"
"1291","YDR430C"
"1292","YDR432W"
"1293","YDR432W"
"1294","YDR434W"
"1295","YDR435C"
"1296","YDR436W"
"1297","YDR437W"
"1298","YDR438W"
"1299","YDR439W"
"1300","YDR440W"
"1301","YDR441C"
"1302","YDR443C"
"1303","YDR444W"
"1304","YDR447C"
"1305","YDR448W"
"1306","YDR449C"
"1307","YDR450W"
"1308","YDR451C"
"1309","YDR452W"
"1310","YDR453C"
"1311","YDR454C"
"1312","YDR456W"
"1313","YDR457W"
"1314","YDR458C"
"1315","YDR459C"
"1316","YDR460W"
"1317","YDR461C-A"
"1318","YDR461W"
"1319","YDR462W"
"1320","YDR463W"
"1321","YDR464W"
"1322","YDR465C"
"1323","YDR466W"
"1324","YDR467C"
"1325","YDR468C"
"1326","YDR469W"
"1327","YDR470C"
"1328","YDR471W"
"1329","YDR472W"
"1330","YDR473C"
"1331","YDR475C"
"1332","YDR476C"
"1333","YDR477W"
"1334","YDR478W"
"1335","YDR479C"
"1336","YDR480W"
"1337","YDR481C"
"1338","YDR482C"
"1339","YDR483W"
"1340","YDR484W"
"1341","YDR485C"
"1342","YDR486C"
