,x
1455,YEL042W
1456,YEL043W
1457,YEL044W
1458,YEL045C
1459,YEL046C
1460,YEL047C
1461,YEL048C
1462,YEL049W
1463,YEL050C
1464,YEL050W-A
1465,YEL051W
1466,YEL052W
1467,YEL053C
1468,YEL054C
1469,YEL055C
1470,YEL056W
1471,YEL057C
1472,YEL058W
1473,YEL059C-A
1474,YEL059W
1475,YEL060C
1476,YEL061C
1477,YEL062W
1478,YEL063C
1479,YEL064C
1480,YEL065W
1481,YEL066W
1482,YEL067C
1483,YEL068C
1484,YEL069C
1485,YEL071W
1486,YEL072W
1487,YEL073C
1488,YEL074W
1489,YEL077C
1490,YER001W
1491,YER002W
1492,YER003C
1493,YER004W
1494,YER005W
1495,YER006W
1496,YER007C-A
1497,YER007W
1498,YER008C
1499,YER009W
1500,YER010C
1501,YER011W
1502,YER012W
1503,YER013W
1504,YER014W
1505,YER015W
1506,YER016W
1507,YER017C
1508,YER018C
1509,YER019C-A
1510,YER019W
1511,YER020W
1512,YER021W
1513,YER022W
1514,YER023W
1515,YER024W
1516,YER025W
1517,YER026C
1518,YER027C
1519,YER028C
1520,YER029C
1521,YER030W
1522,YER031C
1523,YER032W
1524,YER033C
1525,YER034W
1526,YER035W
1527,YER036C
1528,YER037W
1529,YER038C
1530,YER039C
1531,YER039C-A
1532,YER040W
1533,YER041W
1534,YER042W
1535,YER043C
1536,YER044C
1537,YER044C-A
1538,YER045C
1539,YER046W
1540,YER047C
1541,YER048C
1542,YER048W-A
1543,YER049W
1544,YER050C
1545,YER051W
1546,YER052C
1547,YER053C
1548,YER053C-A
1549,YER054C
1550,YER055C
1551,YER056C
1552,YER056C-A
1553,YER057C
1554,YER058W
1555,YER059W
1556,YER060W
1557,YER060W-A
1558,YER061C
1559,YER062C
1560,YER063W
1561,YER064C
1562,YER065C
1563,YER066C-A
1564,YER066W
1565,YER068W
1566,YER069W
1567,YER070W
1568,YER071C
1569,YER072W
1570,YER073W
1571,YER074W
1572,YER074W-A
1573,YER075C
1574,YER076C
1575,YER076W-A
1576,YER077C
1577,YER078C
1578,YER079W
1579,YER080W
1580,YER081W
1581,YER082C
1582,YER083C
1583,YER086W
1584,YER087C-A
1585,YER087C-B
1586,YER087W
1587,YER088C
1588,YER089C
1589,YER089C
1590,YER090W
1591,YER091C
1592,YER092W
1593,YER093C
1594,YER093C-A
1595,YER094C
1596,YER095W
1597,YER096W
1598,YER098W
1599,YER098W
1600,YER099C
1601,YER100W
1602,YER101C
1603,YER102W
1604,YER103W
1605,YER104W
1606,YER105C
1607,YER106W
1608,YER107C
1609,YER109C
1610,YER110C
1611,YER111C
1612,YER112W
1613,YER113C
1614,YER114C
1615,YER115C
1616,YER116C
1617,YER117W
1618,YER118C
1619,YER119C
1620,YER120W
1621,YER121W
1622,YER122C
1623,YER123W
1624,YER124C
1625,YER125W
1626,YER126C
1627,YER127W
1628,YER128W
1629,YER129W
1630,YER130C
1631,YER131W
1632,YER132C
1633,YER133W
1634,YER133W-A
1635,YER134C
1636,YER136W
1637,YER137C
1638,YER138W-A
1639,YER139C
1640,YER140W
1641,YER141W
1642,YER142C
1643,YER143W
1644,YER144C
1645,YER145C
1646,YER146W
1647,YER147C
1648,YER147C-A
1649,YER148W
1650,YER149C
1651,YER150W
1652,YER151C
1653,YER152C
1654,YER153C
1655,YER154W
1656,YER155C
1657,YER156C
1658,YER157W
