,x
966,YDR084C
967,YDR085C
968,YDR086C
969,YDR087C
970,YDR088C
971,YDR089W
972,YDR090C
973,YDR091C
974,YDR092W
975,YDR093W
976,YDR093W
977,YDR096W
978,YDR097C
979,YDR098C
980,YDR099W
981,YDR100W
982,YDR101C
983,YDR103W
984,YDR104C
985,YDR105C
986,YDR106W
987,YDR107C
988,YDR108W
989,YDR109C
990,YDR110W
991,YDR111C
992,YDR113C
993,YDR115W
994,YDR116C
995,YDR117C
996,YDR118W
997,YDR118W
998,YDR119W
999,YDR119W-A
1000,YDR120C
1001,YDR121W
1002,YDR122W
1003,YDR123C
1004,YDR124W
1005,YDR125C
1006,YDR126W
1007,YDR127W
1008,YDR128W
1009,YDR129C
1010,YDR130C
1011,YDR131C
1012,YDR132C
1013,YDR134C
1014,YDR134C
1015,YDR135C
1016,YDR137W
1017,YDR138W
1018,YDR139C
1019,YDR140W
1020,YDR141C
1021,YDR142C
1022,YDR143C
1023,YDR144C
1024,YDR145W
1025,YDR146C
1026,YDR147W
1027,YDR148C
1028,YDR150W
1029,YDR151C
1030,YDR152W
1031,YDR153C
1032,YDR155C
1033,YDR155C
1034,YDR156W
1035,YDR156W
1036,YDR158W
1037,YDR159W
1038,YDR160W
1039,YDR161W
1040,YDR162C
1041,YDR163W
1042,YDR164C
1043,YDR165W
1044,YDR166C
1045,YDR167W
1046,YDR168W
1047,YDR169C
1048,YDR170C
1049,YDR170W-A
1050,YDR171W
1051,YDR172W
1052,YDR173C
1053,YDR174W
1054,YDR175C
1055,YDR176W
1056,YDR177W
1057,YDR178W
1058,YDR179C
1059,YDR179W-A
1060,YDR180W
1061,YDR181C
1062,YDR182W
1063,YDR182W-A
1064,YDR183W
1065,YDR184C
1066,YDR184C
1067,YDR185C
1068,YDR186C
1069,YDR188W
1070,YDR189W
1071,YDR190C
1072,YDR191W
1073,YDR192C
1074,YDR194C
1075,YDR195W
1076,YDR196C
1077,YDR197W
1078,YDR198C
1079,YDR200C
1080,YDR201W
1081,YDR202C
1082,YDR204W
1083,YDR205W
1084,YDR206W
1085,YDR207C
1086,YDR208W
1087,YDR209C
1088,YDR210C-D
1089,YDR210C-D
1090,YDR211W
1091,YDR212W
1092,YDR213W
1093,YDR214W
1094,YDR215C
1095,YDR216W
1096,YDR217C
1097,YDR219C
1098,YDR220C
1099,YDR221W
1100,YDR222W
1101,YDR223W
1102,YDR224C
1103,YDR225W
1104,YDR226W
1105,YDR227W
1106,YDR228C
1107,YDR229W
1108,YDR231C
1109,YDR232W
1110,YDR233C
1111,YDR234W
1112,YDR235W
1113,YDR236C
1114,YDR237W
1115,YDR238C
1116,YDR239C
1117,YDR240C
1118,YDR241W
1119,YDR242W
1120,YDR243C
1121,YDR244W
1122,YDR245W
1123,YDR246W
1124,YDR246W-A
1125,YDR247W
1126,YDR248C
1127,YDR249C
1128,YDR251W
1129,YDR252W
1130,YDR253C
1131,YDR254W
1132,YDR255C
1133,YDR256C
1134,YDR257C
1135,YDR258C
1136,YDR259C
1137,YDR260C
1138,YDR261C
1139,YDR261W-B
1140,YDR261W-B
1141,YDR262W
1142,YDR263C
1143,YDR264C
1144,YDR265W
1145,YDR266C
1146,YDR267C
1147,YDR268W
1148,YDR270W
1149,YDR272W
1150,YDR273W
1151,YDR274C
1152,YDR275W
1153,YDR276C
1154,YDR277C
1155,YDR279W
1156,YDR280W
1157,YDR281C
1158,YDR282C
1159,YDR283C
1160,YDR284C
1161,YDR285W
1162,YDR286C
1163,YDR287W
1164,YDR288W
1165,YDR289C
1166,YDR291W
1167,YDR292C
1168,YDR293C
1169,YDR294C
1170,YDR295C
1171,YDR296W
1172,YDR297W
1173,YDR298C
1174,YDR299W
1175,YDR300C
1176,YDR301W
1177,YDR302W
1178,YDR303C
1179,YDR304C
1180,YDR305C
1181,YDR306C
1182,YDR307W
1183,YDR308C
1184,YDR309C
1185,YDR310C
1186,YDR311W
1187,YDR312W
1188,YDR313C
1189,YDR314C
1190,YDR315C
1191,YDR316W
1192,YDR317W
1193,YDR318W
1194,YDR319C
1195,YDR320C
1196,YDR320C-A
1197,YDR321W
1198,YDR322C-A
1199,YDR322W
1200,YDR323C
1201,YDR324C
1202,YDR325W
1203,YDR326C
1204,YDR327W
1205,YDR328C
1206,YDR329C
1207,YDR330W
1208,YDR331W
1209,YDR332W
1210,YDR333C
1211,YDR334W
1212,YDR335W
1213,YDR336W
1214,YDR337W
1215,YDR338C
1216,YDR339C
1217,YDR341C
1218,YDR342C
1219,YDR343C
1220,YDR344C
1221,YDR345C
1222,YDR346C
1223,YDR347W
1224,YDR348C
1225,YDR349C
1226,YDR350C
1227,YDR351W
1228,YDR352W
1229,YDR353W
1230,YDR354W
1231,YDR356W
1232,YDR357C
1233,YDR358W
1234,YDR359C
1235,YDR361C
1236,YDR362C
1237,YDR363W
1238,YDR363W-A
1239,YDR364C
1240,YDR365C
1241,YDR366C
1242,YDR367W
1243,YDR368W
1244,YDR369C
1245,YDR370C
1246,YDR371W
1247,YDR372C
1248,YDR373W
1249,YDR374C
1250,YDR374W-A
1251,YDR375C
1252,YDR376W
1253,YDR377W
1254,YDR378C
1255,YDR379C-A
1256,YDR379W
1257,YDR380W
1258,YDR381C-A
1259,YDR381W
1260,YDR382W
1261,YDR383C
1262,YDR384C
1263,YDR385W
1264,YDR386W
1265,YDR387C
1266,YDR388W
1267,YDR389W
1268,YDR390C
1269,YDR391C
1270,YDR392W
1271,YDR393W
1272,YDR394W
1273,YDR395W
1274,YDR397C
1275,YDR398W
1276,YDR399W
1277,YDR400W
1278,YDR402C
1279,YDR403W
1280,YDR404C
1281,YDR405W
1282,YDR406W
1283,YDR406W
1284,YDR407C
1285,YDR408C
1286,YDR409W
1287,YDR410C
1288,YDR411C
1289,YDR414C
1290,YDR415C
1291,YDR416W
1292,YDR418W
1293,YDR419W
1294,YDR420W
1295,YDR421W
1296,YDR422C
1297,YDR423C
1298,YDR424C
1299,YDR425W
1300,YDR427W
1301,YDR428C
1302,YDR429C
1303,YDR430C
1304,YDR432W
1305,YDR432W
1306,YDR434W
1307,YDR435C
1308,YDR436W
1309,YDR437W
1310,YDR438W
1311,YDR439W
1312,YDR440W
1313,YDR441C
1314,YDR443C
1315,YDR444W
1316,YDR446W
1317,YDR447C
1318,YDR448W
1319,YDR449C
1320,YDR450W
1321,YDR451C
1322,YDR452W
1323,YDR453C
1324,YDR454C
1325,YDR456W
1326,YDR457W
1327,YDR458C
1328,YDR459C
1329,YDR460W
1330,YDR461C-A
1331,YDR461W
1332,YDR462W
1333,YDR463W
1334,YDR464W
1335,YDR465C
1336,YDR466W
1337,YDR467C
1338,YDR468C
1339,YDR469W
1340,YDR470C
1341,YDR471W
1342,YDR472W
1343,YDR473C
1344,YDR475C
1345,YDR476C
1346,YDR477W
1347,YDR478W
1348,YDR479C
1349,YDR480W
1350,YDR481C
1351,YDR482C
1352,YDR483W
1353,YDR484W
1354,YDR485C
1355,YDR486C
1356,YDR487C
1357,YDR488C
1358,YDR489W
1359,YDR490C
1360,YDR491C
1361,YDR492W
1362,YDR493W
1363,YDR494W
1364,YDR495C
1365,YDR496C
1366,YDR497C
1367,YDR498C
1368,YDR499W
1369,YDR500C
1370,YDR501W
1371,YDR502C
1372,YDR503C
1373,YDR504C
1374,YDR505C
1375,YDR506C
1376,YDR507C
1377,YDR508C
1378,YDR510C-A
1379,YDR510W
1380,YDR511W
1381,YDR512C
1382,YDR513W
1383,YDR514C
1384,YDR515W
1385,YDR516C
1386,YDR517W
1387,YDR518W
1388,YDR519W
1389,YDR520C
1390,YDR522C
1391,YDR523C
1392,YDR524C
1393,YDR524C-B
1394,YDR524W-C
1395,YDR525W-A
1396,YDR527W
1397,YDR528W
1398,YDR529C
1399,YDR530C
1400,YDR531W
1401,YDR532C
1402,YDR533C
1403,YDR534C
1404,YDR535C
1405,YDR536W
1406,YDR538W
1407,YDR539W
1408,YDR540C
1409,YDR541C
1410,YEL001C
1411,YEL002C
1412,YEL003W
1413,YEL004W
1414,YEL005C
1415,YEL006W
1416,YEL007W
1417,YEL008W
1418,YEL009C
1419,YEL011W
1420,YEL012W
1421,YEL013W
1422,YEL015W
1423,YEL016C
1424,YEL017C-A
1425,YEL017W
1426,YEL018W
1427,YEL019C
1428,YEL020C
1429,YEL020W-A
1430,YEL021W
1431,YEL022W
1432,YEL023C
1433,YEL024W
1434,YEL025C
1435,YEL026W
1436,YEL027W
1437,YEL028W
1438,YEL029C
1439,YEL030W
1440,YEL031W
1441,YEL032W
1442,YEL033W
1443,YEL035C
1444,YEL036C
1445,YEL037C
1446,YEL038W
1447,YEL039C
1448,YEL040W
1449,YEL041W
1450,YEL042W
1451,YEL043W
1452,YEL044W
1453,YEL046C
1454,YEL047C
1455,YEL048C
1456,YEL049W
1457,YEL050C
1458,YEL051W
1459,YEL052W
1460,YEL053C
1461,YEL054C
1462,YEL055C
1463,YEL056W
1464,YEL057C
1465,YEL058W
1466,YEL059C-A
1467,YEL059W
1468,YEL060C
1469,YEL061C
1470,YEL062W
1471,YEL063C
1472,YEL064C
1473,YEL065W
1474,YEL066W
1475,YEL067C
1476,YEL068C
1477,YEL069C
1478,YEL070W
1479,YEL071W
1480,YEL072W
1481,YEL073C
1482,YEL077C
1483,YER001W
1484,YER002W
1485,YER003C
1486,YER004W
1487,YER005W
1488,YER006W
1489,YER007C-A
1490,YER007W
1491,YER008C
1492,YER009W
1493,YER010C
1494,YER011W
1495,YER012W
1496,YER013W
1497,YER014W
1498,YER015W
1499,YER016W
1500,YER017C
1501,YER018C
1502,YER019C-A
1503,YER019W
1504,YER020W
1505,YER021W
1506,YER022W
1507,YER023W
1508,YER024W
1509,YER025W
1510,YER026C
1511,YER027C
1512,YER028C
1513,YER029C
1514,YER030W
1515,YER031C
1516,YER032W
1517,YER033C
1518,YER034W
1519,YER035W
1520,YER036C
1521,YER037W
1522,YER038C
1523,YER039C
1524,YER039C-A
1525,YER040W
1526,YER041W
1527,YER042W
1528,YER043C
1529,YER044C
1530,YER044C-A
1531,YER045C
1532,YER046W
1533,YER047C
1534,YER048C
1535,YER048W-A
1536,YER049W
1537,YER050C
1538,YER051W
1539,YER052C
1540,YER053C
1541,YER053C-A
1542,YER054C
1543,YER055C
1544,YER056C
1545,YER056C-A
1546,YER057C
1547,YER058W
1548,YER059W
1549,YER060W
1550,YER060W-A
1551,YER061C
1552,YER062C
1553,YER063W
1554,YER064C
1555,YER065C
1556,YER066C-A
1557,YER066W
1558,YER068W
1559,YER069W
1560,YER070W
1561,YER071C
1562,YER072W
1563,YER073W
1564,YER074W
1565,YER074W-A
1566,YER075C
1567,YER076C
1568,YER076W-A
1569,YER077C
1570,YER078C
1571,YER079W
1572,YER080W
1573,YER081W
1574,YER082C
1575,YER083C
1576,YER084W
1577,YER086W
1578,YER087C-B
1579,YER087W
1580,YER088C
1581,YER089C
1582,YER089C
1583,YER090W
1584,YER091C
1585,YER092W
1586,YER093C
1587,YER093C-A
1588,YER094C
1589,YER095W
1590,YER096W
1591,YER098W
1592,YER098W
1593,YER099C
1594,YER100W
1595,YER101C
1596,YER102W
1597,YER103W
1598,YER104W
1599,YER105C
1600,YER107C
1601,YER109C
1602,YER110C
1603,YER111C
1604,YER112W
1605,YER113C
1606,YER114C
1607,YER115C
1608,YER116C
1609,YER117W
1610,YER118C
1611,YER119C
1612,YER120W
1613,YER121W
1614,YER122C
1615,YER123W
1616,YER124C
1617,YER125W
1618,YER126C
1619,YER127W
1620,YER128W
1621,YER129W
1622,YER130C
1623,YER131W
1624,YER132C
1625,YER133W
1626,YER133W-A
1627,YER134C
1628,YER135C
1629,YER136W
1630,YER137C
1631,YER139C
1632,YER140W
1633,YER141W
1634,YER142C
1635,YER143W
1636,YER144C
1637,YER145C
1638,YER147C
1639,YER147C-A
1640,YER148W
1641,YER149C
1642,YER150W
1643,YER151C
1644,YER152C
1645,YER153C
1646,YER154W
1647,YER155C
1648,YER156C
1649,YER157W
1650,YER158C
1651,YER158W-A
1652,YER159C
1653,YER161C
1654,YER162C
1655,YER163C
1656,YER164W
1657,YER165W
1658,YER166W
1659,YER167W
1660,YER168C
1661,YER169W
1662,YER170W
