"","s1FC"
"YDL133C-A",-1.97421509705165
"YDL133W",0.130716196675894
"YDL134C",0.137626682245414
"YDL135C",-0.504107569152076
"YDL136W",-0.0138955590699166
"YDL137W",-0.901341236427166
"YDL138W",0.723841027711989
"YDL139C",-0.037174919196446
"YDL140C",0.154452356943815
"YDL141W",-0.00416674388557771
"YDL142C",0.410882489638942
"YDL143W",-0.658994150377713
"YDL144C",-1.92717300731169
"YDL145C",-0.514227689066942
"YDL146W",1.18418896822134
"YDL147W",0.0268589611098606
"YDL148C",-0.999453515831259
"YDL149W",0.510057970200454
"YDL150W",-0.0991755153675251
"YDL153C",-0.78378405427006
"YDL154W",0.132508512202606
"YDL155W",-0.625852575544312
"YDL156W",-1.56432876367936
"YDL157C",-0.61027682013
"YDL158C",0.267124057003986
"YDL159W",0.983111331198386
"YDL159W-A",0.196316492536105
"YDL160C",-0.201569361859554
"YDL160C-A",-0.167346165344742
"YDL161W",-0.0317603507510534
"YDL162C",-3.00598080606563
"YDL164C",-0.728515388427935
"YDL165W",0.215523557265672
"YDL166C",-0.022804850853187
"YDL167C",-0.204781598427854
"YDL168W",1.63964822919422
"YDL169C",0.577167080823179
"YDL170W",1.00140897347589
"YDL171C",-0.0985614724596806
"YDL173W",-0.328228532949936
"YDL174C",-0.80622908165972
"YDL175C",0.603077840764799
"YDL176W",1.15312150070471
"YDL177C",1.48194233887902
"YDL178W",-0.195630658689649
"YDL179W",-2.14582469285064
"YDL180W",0.620414990394057
"YDL181W",-0.83035656961238
"YDL182W",-0.357471065809184
"YDL183C",0.31307642564045
"YDL184C",-1.07662719609207
"YDL185C-A",-3.29622347460677
