"","Holly_59A","Holly_59B","Holly_59C","Holly_Anc_A","Holly_Anc_B","Holly_Anc_C"
"YAL046C",499.595304723745,527.702848852865,578.466399919123,456.820671319252,445.273370569939,446.225997553636
"YAL047C",226.1326116118,237.101510429283,219.684758747911,261.566674706991,257.436769802206,228.953653195059
"YAL048C",322.896333789873,335.589830146062,337.806714456587,260.829867172605,317.812820048977,316.563469468679
"YAL049C",3640.20915715554,2634.86652871926,2319.38531723297,3401.10357872527,2743.75606121439,2615.44504848846
"YAL051W",540.614708690536,513.111986672602,703.212016695575,543.027152842401,574.411033597756,574.720394754945
"YAL053W",1488.26811828231,1249.95052677591,1044.33056168605,1340.98971258232,1690.5294069096,1655.24146212959
"YAL054C",34063.9855454482,35610.2150561149,9525.9285589735,29050.8474657669,40107.3070451782,41628.6803005731
"YAL055W",112.540416011454,109.431466351977,93.8351984601631,175.360193183842,147.585900603219,140.175706037791
"YAL056W",1344.1743146041,1510.15423565728,1373.30572805227,1636.44953387106,1504.36991864872,1360.87247945022
"YAL058W",183.009648467224,176.306251344851,154.552091581445,144.414276739634,212.993288370555,175.219632547239
"YAL059W",75.7281304002307,62.0111642661201,65.1326671664661,81.0488287824479,48.6362626987881,42.0527118113374
"YAL060W",5295.71023007169,6304.46836705554,2992.79085912356,5159.86316330439,5191.50176496891,4289.37660475641
"YAL061W",2446.43932376301,3165.0011879355,1676.89019365868,2715.87257174639,3170.58119420893,2749.78010010801
"YAL062W",16301.5318482386,10343.7053806252,3447.61558577752,14574.0530301529,16986.6340256784,10190.7738289474
"YAL063C",104.126179300317,104.567845625222,68.4444977003543,70.7335233010454,120.752100493543,98.1229942264539
"YAL067C",245.064644211858,144.692716620947,124.745616776452,237.988833606642,189.513713274588,190.405334034667
"YAR002C-A",1791.18063988324,1694.97182327395,1090.69618916048,2207.47537302013,1708.13908823157,1471.84491339681
"YAR002W",580.582333068436,524.055133307799,593.921609077268,566.604993942749,587.827933652594,531.499552059959
"YAR003W",316.58565625652,468.123494950122,374.236850329356,413.349026790484,407.538339165707,357.448050396368
"YAR007C",1406.22931034873,1328.98436358567,1045.43450519735,1236.36304269952,1265.38138642192,1318.81976763889
"YAR008W",359.708619401096,306.408105785535,280.401651869193,431.769215150131,348.83940142579,293.200851795714
"YAR014C",837.216552758107,965.428714260772,964.846628872736,868.696083040964,961.824022681206,914.646481896589
